id,name,wikidata_uri
151,Luxembourgeoise,
152,"puis  Suisse",
153,"puis Suisse (1859)",
154,"Italienne et Suisse (1993)",
155,"puis Suisse (1955)",
156,"Suisse (1937)",
157,"puis Suisse (1944)",
158,"Allemande et Suisse (1902)",
159,"Français",
160,"puis Suisse (1866)",
161,"Allemande (Prussienne)",
162,"puis Suisse (1892)",
163,Austro-hongroise?,
164,"puis Suisse (1895)",
165,"puis apatride",
166,"Allemande (prussien)",
167,"puis Suisse (1921)",
168,"puis Suisse (1893)",
169,"puis Suisse (1902)",
170,"puis Suisse (1894)",
171,Austro-hongroise,
172,"puis Italienne",
173,autrichienne,
174,"puis Suisse (1940)",
175,"et Américaine (1948)",
176,"puis Suisse (1938)",
177,"puis Suisse (1935)",
178,"puis Suisse (1917)",
179,"Arménienne et Suisse (1932)",
180,"puis Suisse (1960)",
181,"puis Suisse (1949)",
182,hongroise,
183,"puis Suisse (1946)",
184,"puis Suisse (1965)",
185,Chilienne,
186,"puis Suisse (1913)",
187,"puis Suisse (1912)",
188,"puis Suisse (1956)",
189,Argentine,
190,"Roumaine et Suisse",
191,"puis Suisse (1939)",
192,Egyptienne,
193,"Tchécoslovaque",
194,"puis Américaine",
195,"Égyptienne",
196,"Hongroise et Américaine",
197,"puis Suisse (1979)",
198,"puis Suisse (1981)",
199,"Suisse (or polish?)",
200,"Grecque et Américaine (ou Grecque",
201,"puis Américaine)",
202,Yougoslave,
203,"puis Suisse (2007)",
204,"Péruvienne",
205,"puis Canadienne et Suisse",
206,Liechtensteinoise?,
207,Croate,
208,"puis Suisse (1901)",
209,"puis Américaine (1940)",
210,"puis Suisse (1990)",
211,Prussienne,
212,"Mozambicaine et Suisse",
213,"Afgane et Suisse",
214,"Allemande et Australienne",
215,Australienne,
216,"Australienne (depuis 1944)",
217,"Sud-coréenne",
218,"Suisse et espagnole",
219,"Israélienne et Suisse",
220,"Angolaise et Suisse",
221,"Française et iranienne",
222,Togolaise,
223,Rwandaise,
224,"Française et Anglaise",
225,Japonnaise,
226,"Turque et grecque",
227,"Française (Guadeloupe)",
228,Japonse,
229,Singapourienne,
230,Sud-africaine,
231,"Sud-Africaine et Suisse?",
232,"Allemande et Américaine",
233,"Anglaise et Américaine",
234,"Allemande et Française",
235,"Suédoise et Suisse",
236,"Suisse et Italie",
237,Portugaise,
238,"Suisse et Italien",
239,"Américaine??",
240,"Allemande et Américaine (Allemande",
241,"puis Américaine?)",
242,"Américaine et Italienne",
243,"puis Suisse (1888)",
244,"puis Suisse (1867)",
245,Malaisienne?,
246,"Américaine et hongroise",
247,Finlandaise?,
248,Canadienne?,
249,"Suisse et kosovare",
250,Danois,
251,greque,
252,"puis Suisse (1936)",
253,(Chine,
254,puis?)USA,
255,"Tchèque?",
256,Italie,
257,"Suédois",
258,"Italienne puis Suisse ?",
259,"puis Suisse (dès 1877)",
260,"Suisse et arménienne",
261,"puis Suisse (1880)",
262,"Turque et Suisse (2001)",
263,"Italien puis suisse",
264,"puis suisse (1987)",
265,"Algérienne",
266,"Italienne et suisse (2020)",
267,Kowait,
268,"dès 1929",
269,SUisse,
270,Neerlandaise,
271,"puis Suisse (1911)",
272,"puis Suédois",
273,"Autrichienne et Suisse",
274,"Suisse et Espagnole",
275,"Suisse et Turque",
276,"Française et Américaine",
277,France,
278,Turque?,
279,"Turque et Suisse",
280,"Australienne et hollandaise",
281,"Indienne et Américaine?",
282,Autriche,
283,"Allemande et autrichienne",
284,Allemande/suisse???,
285,"puis Suisse (1914)",
286,"Tchèque puis suisse?",
287,"(Allemande puis?) Suisse",
288,"puis suisse ?",
289,Suisse/Autriche,
290,"Suisse (HO Luxembourg?)",
291,"Belge et Suisse",
292,"puis Suisse (1918)",
293,"puis Italienne et Suisse",
294,"Bavaroise/allemande puis suisse",
295,"arménienne",
296,"plus suisse",
297,Norvegien,
298,"Suisse (et Française?)",
299,"Suisse et canadienne",
300,"Suisse et Polonaise",
301,"Italienne et suisse (1952)",
