id,name,birth_canton,frequency
732,Singen am Hohentwiel,Etranger,1.0
733,"Lansing, (Michigan)",Etranger,1.0
734,Boston,Etranger,6.0
735,Choindez,BE,1.0
736,Reno (Nevada),Etranger,1.0
737,Wuppertal,Etranger,6.0
738,Alger,Etranger,6.0
739,Westhofen,Etranger,1.0
740,Boulogne-Billancourt,Etranger,4.0
741,Calestano,Etranger,1.0
742,Mörfelden,Etranger,1.0
743,Ravensburg,Etranger,4.0
744,Klagenfurt,Etranger,3.0
745,Petit-Lancy,GE,1.0
746,Mussoorie,Etranger,1.0
747,Randogne,VS,2.0
748,Chevrilles,FR,1.0
749,Maputo,Etranger,1.0
750,Nidau,BE,6.0
751,Wiler (Lötschen),VS,2.0
752,Karlsbad,Etranger,2.0
753,Bonfol,BE (aujourd'hui JU),3.0
754,Schwarzenburg,BE,5.0
755,Horn,TG,4.0
756,Kienberg,SO,1.0
757,Novazzano,TI,2.0
758,Niedererlinsbach,SO,2.0
759,Wangen an der Aare,BE,3.0
760,Vicenza,Etranger,2.0
761,Gossau,SG,12.0
762,Jaun,FR,3.0
763,Berg (SG),SG,1.0
764,Châtel-Saint-Denis,FR,6.0
765,Soubey,BE (aujourd'hui JU),
766,Henau,SG,2.0
767,Bassecourt,BE (aujourd'hui JU),
768,Moukden,Etranger,1.0
769,Pfaffenhofen,Etranger,1.0
770,Lengnau (AG),AG,2.0
771,Busswil bei Melchnau,BE,1.0
772,Saignelégier,BE,7.0
773,Reinach,BL,8.0
774,Rorschach,SG,16.0
775,Niederurnen,GL,2.0
776,Busswil bei Büren,BE,1.0
777,Epesses,VD,3.0
778,Missy,VD,4.0
779,Courrendlin,BE,1.0
780,Le Sentier (comm. du Chenit),VD,1.0
781,Lumino,TI,2.0
782,Sils im Domleschg,GR,1.0
783,Varna,Etranger,1.0
784,Göschenen,UR,1.0
785,Vernayaz,VS,1.0
786,Oberhof,AG,2.0
787,Nilvange (Lorraine),Etranger,1.0
788,Saint-Moritz,GR,4.0
789,Kleinhüningen (auj. Bâle),BS,1.0
790,Mühledorf SO,SO,2.0
791,Juriens,VD,1.0
792,Farnern,BE,1.0
793,Muolen,SG,2.0
794,Buchs,SG,11.0
795,Muri bei Bern,BE,5.0
796,Uttiwil,FR,1.0
797,Nutenwil,SG,1.0
798,Albeuve,FR,1.0
799,Fiesch,VS,2.0
800,Les Posses-Dessus,VD,1.0
801,Lörrach,Etranger,7.0
802,Khotine,Etranger,1.0
803,Seedorf BE,BE,1.0
804,Oberhallau,SH,1.0
805,Augst,BL,1.0
806,Saint-Brais,BE,2.0
807,Storzeln bei Binningen,Etranger,1.0
808,Mettendorf,SG,1.0
809,Balsthal,SO,8.0
810,Bôle,NE,2.0
811,Besenbüren,AG,1.0
812,Tourtemagne,VS,1.0
813,Kurzdorf (auj. Frauenfeld),TG,1.0
814,Pont d'Ain,Etranger,1.0
815,Travers,NE,4.0
816,Magdala,Etranger,1.0
817,Barbengo,TI,1.0
818,Poissy (Ile-de-France),Etranger,1.0
819,Walkringen,BE,1.0
820,Oberhofen am Thunersee,BE,1.0
821,Ragaz,SG,3.0
822,Risch,ZG,1.0
823,Ebikon,LU,1.0
824,Hallau,SH,6.0
